店名,种类,环境评分,服务评分,口味评分
牵肠挂肚市井火锅(春熙路店),火锅,4.48,4.95,4.23
围捞港式打边炉·花胶鸡(鹭洲里店),火锅,4.51,4.89,4.11
知青牛肉(新津店),火锅,4.58,4.08,3.96
三牦记牛肉火锅(金沙店),火锅,4.94,4.24,4.28
味之绝美蛙鱼头火锅(华阳一店),火锅,4.77,4.3,4.25
蜀九香火锅(南府店),火锅,4.35,4.33,4.26
大象厨房,火锅,4.7,4.32,4.15
大象花园泰式海鲜料理·特色泰式火锅(总店),火锅,4.23,4.04,3.94
丼亦九宫格火锅(双楠店),火锅,4.67,4.71,4.27
港不出再见·花胶鸡港式火锅(科华总店),火锅,4.33,4.05,4.4
两两一今集市火锅(太古里店),火锅,4.37,4.3,4.58
时光漫卤味火锅,火锅,4.05,4.39,4.19
鲲牞汤物料理(金堂店),火锅,4.82,4.65,4.15
乐山食古香跷脚牛肉,火锅,4.7,4.11,4.49
大龙燚火锅(玉林总店),火锅,4.54,3.9,4.15
大院河鲜(羊犀店),火锅,4.52,4.25,4.86
海底捞火锅(凯德天府店),火锅,3.94,4.93,4.65
袁老四老火锅(太古里店),火锅,4.75,4.43,4.66
额尔敦传统涮(宽窄巷子店),火锅,4.93,4.87,4.59
大鱼山房(18年品质店),火锅,4.12,4.63,4.83
味之绝美蛙鱼头火锅(文殊院店),火锅,4.34,3.94,4.18
老码头火锅(春熙店),火锅,4.17,4.68,4.37
洋盘货火锅铺(太古里店),火锅,4.11,4.2,3.92
老地方私家老火锅(航空港店),火锅,4.04,4.88,4.3
汤公汤婆·煲汤治愈所(IFS旗舰店),火锅,4.85,4.84,4.7
斗牛潮汕牛肉火锅(华阳直营店),火锅,4.49,3.87,4.9
壹小馆.皇城老妈(成都远洋太古里店),火锅,4.41,4.23,4.31
化龙桥九宫格火锅(清水河店),火锅,4.58,4.59,4.7
爱妻牛排火锅(银杏店),火锅,4.45,4.11,4.68
辣守道卤椒鱼火锅(东郊记忆店),火锅,4.31,4.37,4.53
老船舫·鲜做河鱼馆(李家沱总店),火锅,4.91,4.01,4.59
王婆乔老火锅(八宝街店),火锅,4.85,4.65,3.92
陈家年年鱼(同心路店),火锅,4.58,4.83,4.8
缺贰张老火锅(桐梓林店),火锅,4.16,4.24,4.06
堂口特色火锅(吾悦广场店),火锅,4.47,4.44,4.47
海底捞火锅(旭海广场店),火锅,4.5,3.89,4.36
花水湾红太阳牛肉汤锅(温泉正街店),火锅,4.1,4.87,4.37
爸爸炒料牛排老火锅(建设路旗舰店),火锅,4.26,4.71,4.32
不站?花胶鸡(优品道店),火锅,4.98,4.23,4.06
大龙燚火锅(花牌坊店),火锅,4.62,4.23,4.86
聚极大龙·花园火锅(桐梓林店),火锅,4.5,4.65,4.94
赤里成都民间火锅馆(月牙湖店),火锅,4.3,4.79,4.63
楠柏弯生态火锅山庄(胜利店),火锅,3.99,4.59,4.74
云里小坐·花园里,火锅,4.64,4.79,4.45
五里井火锅(小关庙店),火锅,4.13,4.32,4.83
拈江湖鸭肠火锅(建设路店),火锅,4.3,4.47,4.87
电台巷火锅(春熙路店),火锅,4.83,3.91,4.52
巴蜀大掌柜火锅(宽窄巷子总店),火锅,4.66,4.67,4.62
城门口老火锅(长寿路店),火锅,4.09,4.66,4.36
银滩鲍鱼火锅(金沙店),火锅,3.97,4.95,4.47
集渔·泰式海鲜火锅(新都店),火锅,4.94,4.57,4.27
集渔·泰式海鲜火锅(犀浦店),火锅,4.77,4.63,4.84
大牛合潮汕鲜牛肉火锅(凯德天府店),火锅,4.97,4.32,4.72
张叔叔锑锅麻辣烫(总店),火锅,4,4.42,4.57
帮重火锅(IFS国际金融中心店),火锅,4.96,4,4.94
木桶鱼【青城山店】,火锅,4.5,4.01,4.73
山珍铜锅腊排土鸡馆(青城山店),火锅,4.89,4.44,4.55
颜氏跷脚牛肉,火锅,4.95,4.78,4.97
蜀香麻麻鱼·芋儿鸡,火锅,4.42,4.71,4.79
叁口煮市井老火锅(望平街店),火锅,3.92,4.6,4.62
隐芦庭院火锅(花牌坊店),火锅,4.49,4.21,4.73
卧龙桥卤煮火锅(双楠店),火锅,4.03,4.2,4.52
蜀大侠火锅(建设路店),火锅,4.62,3.95,4.36
巴蜀大宅门火锅(新华公园店),火锅,4.88,3.88,4.93
牛宝贝秘制牛肉驴肉鲜锅(大邑店),火锅,4.04,4.15,4.79
袁老四老火锅(春熙店),火锅,4.76,3.93,3.93
龙腾·梵谷,火锅,4.65,4.14,4.29
小龙坎老火锅(员工店),火锅,4.14,4.74,4.04
陈玲芋儿鸡(红瓦寺店),火锅,4.15,4.14,4.19
蛙蛙鸡冷锅鱼,火锅,4.37,4.82,4.31
龙吟台河鲜餐厅,火锅,4.64,4.11,4.89
阳光岛·海鲜盛宴,火锅,4.89,4.89,4.54
一盒相火锅,火锅,4.45,4.42,3.91
蜀大侠火锅(草堂店),火锅,4.35,4.12,4.92
堂口原味老火锅(中粮鸿云店),火锅,4,4.53,4.07
龙厂长老火锅(营通街店),火锅,4.5,4.49,4.43
锦城印象火锅(德商国际店),火锅,4.7,4.65,4.98
集渔·泰式海鲜火锅(光华中坝店),火锅,4.2,4,4.61
拾野君山珍菌汤锅(银泰店),火锅,4.84,4.44,4.51
奈九日料·居酒屋(鹭岛艺术城店),火锅,4.84,3.93,4.92
潮本味养生汤锅(桐梓林店),火锅,4.64,4.03,4.77
青葵泰式海鲜锅(新光店),火锅,4.32,4.95,4.26
沸腾码头生态公园火锅,火锅,4.38,4.6,3.9
老佛爷炭火蛙锅(银泰城店),火锅,4.22,4.15,4.94
蜀九香火锅(家家福店),火锅,4.64,4.79,3.87
黑豆花牛肉排骨汤锅(花水湾店),火锅,4.47,4.85,3.91
老班长火锅(二十四城店),火锅,3.9,4.76,3.99
藕王之家养生汤(温江直营店),火锅,4.11,4.84,4.66
奈九·居酒屋(象南里店),火锅,4.01,4.9,4.75
巴蜀印象火锅(犀浦店),火锅,4.17,4.98,3.93
牛宝贝养生黄牛肉(一品天下店),火锅,4.39,4.48,4.72
沸悦火锅(万象城商场店),火锅,4.69,4.29,4.32
柴头哥广东汕头牛肉火锅,火锅,4.28,4.12,3.9
雷门火锅(高新店),火锅,4.4,4.74,4.89
拾忆味老火锅,火锅,4.85,4.58,3.94
味之绝美蛙鱼头火锅(蜀汉路店),火锅,4.54,4.38,4.26
蜀韵蜀味火锅(春熙店),火锅,4.57,4.23,4.7
清真·牛不比火锅(交大店),火锅,4.63,4.47,4.04
重庆肖肖酸萝卜鱼火锅,火锅,4.5,4.94,4.09
码头故事火锅(双林路店),火锅,4.14,3.99,4.42
大龙燚火锅(科华店原棕北店),火锅,4.64,4.2,4.95
浮何烤铺(桐梓林店),火锅,4.71,4.69,4.26
捞幺怪巴蜀老味火锅,火锅,4.74,4.26,4.76
云蜀鲜品火锅(太古里店),火锅,4.9,4.44,4.81
陈艳红市井老火锅(奎星楼店),火锅,4.89,4.86,4.6
猪猪福和式火锅(伊势丹百货店),火锅,4.48,4.96,4.95
山城风串串王(建设路总店),火锅,4.17,3.98,4.1
蜀九香火锅(金沙店),火锅,4.15,4.91,4.91
言庭·庭院森林火锅(国色天乡店),火锅,4.99,3.98,4.45
重庆盆盆虾·蟹蛙(顺城大街店),火锅,4.36,4.04,4.29
聚宝盆酸汤乌鱼府,火锅,4.23,4.09,3.91
蓉小纯老火锅(双楠店),火锅,4.16,4.96,4.11
巴蜀印象火锅(永陵总店),火锅,4.66,4.46,4.41
罗肥羊涮羊肉,火锅,3.97,4.57,4.27
耙土豆老火锅(科华路总店),火锅,4.48,4.8,4.2
老成都毛根朋友老火锅,火锅,4.62,4.89,3.88
卤盟主卤味火锅(春熙概念店),火锅,3.99,4.42,4.74
海底捞火锅(仁和新城店),火锅,4.92,4.45,4.18
沸小煮火锅,火锅,4.54,4.08,4.53
江湖火锅(牛市口旗舰店),火锅,3.91,4.58,4.51
陈艳红市井老火锅(建设路店),火锅,4.97,4.47,4.86
谭鸭血老火锅(王府井直营店),火锅,4.03,4.56,4.49
城门口老火锅(太升店),火锅,3.88,4.52,3.99
石烹木桶鱼(龙湖时代天街店),火锅,4.21,4.89,4.54
巷巷火锅,火锅,3.87,4.8,4.61
蜀九香火锅(东轩Art店),火锅,4.14,4.66,4.04
一善·菌飧野生菌汤馆(银泰城店),火锅,3.97,4.54,4.06
谭鸭血老火锅(文殊院店),火锅,4.37,4.35,4.61
万杰老灶火锅(大丰旗舰店),火锅,4.81,4.36,4.04
牛签签串串香(IFS店),火锅,4.4,4.7,4.17
巴蜀大将火锅(春熙店),火锅,3.97,4.99,4.12
密味金汤火锅,火锅,4.95,4.06,4.28
炙嫩部落自助烤吧(铁像寺店),火锅,3.98,4.76,4.76
尝小聚火锅,火锅,4.1,4.94,4.22
井口火火锅(西南财大店),火锅,4.93,4.25,4.25
陈六嬢乐山翘脚牛肉(青羊大道店),火锅,4.29,4.97,4.27
蜀九香火锅(紫荆店),火锅,4.79,4.29,4.03
香天下·传承火锅(世纪城店),火锅,4.01,4.79,4.2
汕头鲜牛肉火锅,火锅,4.26,4.72,4.91
北京老门框爆肚涮肉馆(金沙店),火锅,3.97,3.88,4.94
柴头哥广东汕头牛肉火锅(芳邻路店),火锅,4.72,4.36,4.99
老宅子肥肠鱼(三道街店),火锅,4.53,4.87,4.02
土火Tohot(银泰in99店),火锅,4.69,4.76,3.97
聚极大龙农庄,火锅,4.84,4.06,4.57
陈艳红老火锅(春熙路太古里旗舰店),火锅,4.8,4.96,4.6
叁口煮市井老火锅(万象城店),火锅,4.69,3.95,4.66
九条火锅,火锅,4.33,4.9,4.73
大龙传承火锅(双林路店),火锅,4.93,4.05,4.1
何平舅舅街市火锅(玉林舅舅家),火锅,4.52,4.9,4.03
龙腾庭院火锅(恒大新城店),火锅,4.27,4.7,3.91
锦南炉火锅,火锅,3.92,4.14,4.19
陈玲芋儿鸡(中和店),火锅,3.89,4.52,4.26
冯记香辣兔火锅,火锅,4.11,4.06,4
荣胜和鲜货大蜀火锅(郫筒店),火锅,4.39,4.72,4.7
偶素·蔬食火锅(凯德·天府店),火锅,4.95,4.98,3.96
齐煮火锅,火锅,4.68,4.77,4.66
大院河鲜(天府三街香遇店),火锅,4.51,4.77,4.81
和联潮汕牛肉火锅(春熙路店),火锅,4.59,4.12,4.14
醉南亚森林火锅·宴会(景观店),火锅,4.39,4.26,4.64
尹记孝泉牛排火锅·肥肠香鸡,火锅,4.54,4.24,4.93
泸州酸菜豆花火锅(高新店),火锅,3.93,4.83,4.35
泰色天香,火锅,4.79,4.46,4.8
藕然間(简阳店),火锅,4.06,4.45,4.6
味之绝热血美蛙鱼(绿地468店),火锅,4.22,4.45,4.84
煮海·泰式海鲜火锅(航空港店),火锅,4.89,4.19,3.94
BKK 泰式海鲜火锅?泰国菜,火锅,4.5,4.63,4.15
笋友·野笋炖鸡(华府大道总店),火锅,4.75,4.38,4.8
洋盘货火锅铺(春熙路王府井店),火锅,4.43,4.36,4.43
拜子笋子芋儿鸡,火锅,4.42,4.52,4.25
久仓火锅,火锅,4.16,4.04,4.08
拈江湖鸭肠火锅(玉林店),火锅,4.08,4.89,4.88
集渔·泰式海鲜火锅(都江堰店),火锅,4.21,4.16,4.46
喜雀花园火锅(泛悦国际店),火锅,4.06,4.16,4.27
栋火锅,火锅,4.12,4.95,4.4
收荒匠·顺子生活馆(龙泉店),火锅,4.46,4.15,4.6
巴蜀大将火锅(人民公园店),火锅,4.06,4.4,4.8
蜀大侠火锅(红牌楼店),火锅,4.25,4.63,3.98
川道拐耗儿鱼(置信路店),火锅,4.48,4.75,4.15
雲森野生菌汤锅,火锅,4.86,4.73,4.9
一带一炉港式打边炉·打冷·花胶鸡(衣冠庙旗舰店),火锅,4.9,4.09,3.89
啥子老火锅(西门罗家碾店),火锅,4.79,4.13,4.42
沸腾都火公园火锅,火锅,4.9,3.97,4.18
何平舅舅街市火锅(莲桂舅舅家),火锅,4.77,4.72,4.24
红忆火锅(玉锦店),火锅,4.3,3.9,4.09
记忆小洞天重庆老火锅(万象城店),火锅,4.26,4.63,4.14
ME兔,火锅,4.17,4.21,4.89
寿安来凤鱼,火锅,4.37,4.92,3.92
重庆赵二老火锅(哥谭2店),火锅,3.98,4.95,4.75
雅安石头木桶鱼,火锅,3.93,4.54,4.52
椒鹏美蛙鱼&铜锅蛙领潮者(新中路店),火锅,4.13,4.46,4.16
母亲的火锅店(中海店),火锅,4.77,4.3,4
晶晶火锅兔(土龙公路店),火锅,4.89,4.71,4.13
蕃茄述·好汤自然来(宽窄巷子店),火锅,4.66,4.52,3.89
咪咪鱼(凯德广场店),火锅,4.03,4.63,4.26
归来隐庐茶饮养生膳食(桐梓林店),火锅,4.49,4.13,4.55
青年火锅(玉林总店),火锅,4.43,4.76,4.96
小龙老火锅,火锅,4.57,4.2,4.9
红九美蛙·兔火锅,火锅,4.37,4,4.17
婷儿汤馆(紫荆店),火锅,4.13,4.64,3.89
有拈头成都市井火锅(太古里总店),火锅,4.91,4.66,4.4
味之绝(圣菲店),火锅,4.78,4.74,4.8
锦城印象火锅(东湖店),火锅,4.84,4.39,4.16
拈江湖鸭肠火锅(蜀汉路店),火锅,4.17,4.12,4.17
绿院中庭火锅(红光店),火锅,4.79,4.64,4.02
重庆渣渣老火锅(哥谭总店),火锅,4.19,4.12,4.23
陈艳红市井老火锅(科华路店),火锅,4.54,4.48,4.36
上炉汤房·花胶海鲜火锅,火锅,4.86,4.23,4.08
柴门河鲜馆(桐梓林店),火锅,4.46,3.95,4.23
华阳人家麻椒鱼·始于1999年(华阳总店),火锅,4.64,4.69,4.64
蕃茄述·好汤自然来(龙湖时代天街店),火锅,4.98,3.89,4.39
河边吃鱼,火锅,4.6,4.22,4.75
群英会六火老火锅,火锅,4.66,4.97,4.39
黄潇洒老火锅(宏济巷店),火锅,4.1,4.75,4.9
老码头火锅(骡马市店),火锅,4.8,4.68,4.65
麒正老火锅,火锅,4.58,4.52,4.86
巴色鱼捞(华府大道直营店),火锅,4.83,4.2,4.96
藕王之家养生汤(红光总店),火锅,3.91,4.17,3.95
东坡山庄·生态火锅,火锅,4.29,4.84,4.41
龙在江湖九宫格老火锅(龙城国际店),火锅,4.63,4.09,4.46
肥肠芋儿鸡,火锅,4.22,4.77,4.6
蛙师兄·炝蛙火锅(九眼桥店),火锅,4.26,4.85,3.89
月满大江火锅(科华店),火锅,4.51,4.59,4.49
刘记清汤黄牛肉(大源店),火锅,4.64,4.73,3.9
